Model,Accuracy,Metric,Normalized Accuracy,Source,Latency,Throughput,,
roberta-base,94.8,SST-2,,huggingface,0.010304213,97.04768331,,
roberta-large,96.4,SST-2,,huggingface,0.019586802,51.05478679,,
albert-base-v2,92.9,SST-2,,huggingface,0.011165142,89.5644677,,
albert-large-v2,94.9,SST-2,,huggingface,0.021748543,45.98009163,,
albert-xlarge-v2,95.4,SST-2,,huggingface,0.021919966,45.62050872,,
albert-xxlarge-v2,96.8,SST-2,,huggingface,0.029720068,33.64729852,,
prajjwal1/bert-tiny,83.2,SST-2,,github.com/google-research/bert/blob/master/README.md,0.001725674,579.4837264,0.000931978,1072.986442
prajjwal1/bert-mini,85.9,SST-2,,github.com/google-research/bert/blob/master/README.md,0.001739025,575.0348615,0.000954151,1048.051974
prajjwal1/bert-small,89.7,SST-2,,github.com/google-research/bert/blob/master/README.md,0.001749277,571.6647506,0.000972986,1027.763783
prajjwal1/bert-medium,89.6,SST-2,,github.com/google-research/bert/blob/master/README.md,0.001743317,573.619141,0.000998259,1001.744447
bert-base-uncased,93.5,SST-2,,huggingface,0.009783983,102.2078636,0.05036974,19.85318982
bert-large-uncased,94.9,SST-2,,paperswithcode,0.01914978,52.21992106,,
gpt2,83.4,CBT-NE,,huggingface,0.130423307,7.667341212,,
gpt2-medium,87.1,CBT-NE,,huggingface,0.249747753,4.004040026,,
gpt2-large,88,CBT-NE,,huggingface,0.370368958,2.7000103,,
gpt2-xl,89.05,CBT-NE,,huggingface,0.491640329,2.034007262,,
t5-small,26.7,WMT EnDe BLEU,83.17,arxiv.org/abs/1910.10683v3,,,,
t5-base,30.9,WMT EnDe BLEU,96.26,arxiv.org/abs/1910.10683v3,,,,
t5-large,32,WMT EnDe BLEU,99.68,arxiv.org/abs/1910.10683v3,,,,
t5-3b,31.8,WMT EnDe BLEU,99.06,arxiv.org/abs/1910.10683v3,,,,
t5-11b,32.1,WMT EnDe BLEU,100,arxiv.org/abs/1910.10683v3,,,,
yolov5n,28,mAP (50-95),,github.com/ultralytics/yolov5,45,22.22222222,,
yolov5m,37.4,mAP (50-95),,github.com/ultralytics/yolov5,98,10.20408163,,
yolov5s,45.4,mAP (50-95),,github.com/ultralytics/yolov5,224,4.464285714,,
yolov5l,49,mAP (50-95),,github.com/ultralytics/yolov5,430,2.325581395,,
yolov5x,50.7,mAP (50-95),,github.com/ultralytics/yolov5,766,1.305483029,,
densenet121,74.97,ImageNet top-1,,,,,,
densenet161,77.7,ImageNet top-1,,,,,,
densenet169,76.17,ImageNet top-1,,,,,,
densenet201,77.32,ImageNet top-1,,,,,,
efficientnet-b0,77.1,ImageNet top-1,,arxiv.org/pdf/1905.11946v5.pdf,,,,
efficientnet-b1,79.1,ImageNet top-1,,arxiv.org/pdf/1905.11946v5.pdf,,,,
efficientnet-b2,80.1,ImageNet top-1,,arxiv.org/pdf/1905.11946v5.pdf,,,,
efficientnet-b3,81.6,ImageNet top-1,,arxiv.org/pdf/1905.11946v5.pdf,,,,
efficientnet-b4,82.9,ImageNet top-1,,arxiv.org/pdf/1905.11946v5.pdf,,,,
efficientnet-b5,83.6,ImageNet top-1,,arxiv.org/pdf/1905.11946v5.pdf,,,,
efficientnet-b6,84,ImageNet top-1,,arxiv.org/pdf/1905.11946v5.pdf,,,,
efficientnet-b7,84.3,ImageNet top-1,,arxiv.org/pdf/1905.11946v5.pdf,,,,
mobilenet0.25,52.91,ImageNet top-1,,,,,,
mobilenet0.5,65.2,ImageNet top-1,,,,,,
mobilenet0.75,70.25,ImageNet top-1,,,,,,
mobilenet1.0,73.28,ImageNet top-1,,,,,,
resnest14,75.75,ImageNet top-1,,,,,,
resnest26,78.68,ImageNet top-1,,,,,,
resnest269,84.53,ImageNet top-1,,,,,,
resnest50,81.04,ImageNet top-1,,,,,,
resnet101_v1,78.34,ImageNet top-1,,,,,,
resnet152_v1,79.22,ImageNet top-1,,,,,,
resnet18_v1,70.93,ImageNet top-1,,,,,,
resnet34_v1,74.37,ImageNet top-1,,,,,,
resnet50_v1,77.36,ImageNet top-1,,,,,,
vgg11,66.62,ImageNet top-1,,,,,,
vgg13,67.74,ImageNet top-1,,,,,,
vgg16,73.23,ImageNet top-1,,,,,,
vgg19,74.11,ImageNet top-1,,,,,,